iter	Passed	Remaining
0	150	150426
1	151	75651
2	152	50617
3	152	38093
4	153	30609
5	154	25602
6	155	22038
7	156	19360
8	157	17293
9	157	15629
10	158	14289
11	159	13170
12	160	12216
13	161	11395
14	163	10714
15	163	10084
16	164	9524
17	165	9034
18	166	8585
19	167	8209
20	168	7846
21	169	7524
22	170	7222
23	170	6945
24	171	6688
25	172	6449
26	172	6225
27	173	6023
28	174	5849
29	175	5676
30	176	5509
31	177	5355
32	177	5210
33	178	5072
34	179	4943
35	179	4818
36	182	4738
37	183	4632
38	183	4532
39	184	4432
40	185	4338
41	186	4246
42	186	4161
43	187	4080
44	188	4004
45	189	3931
46	190	3859
47	191	3789
48	191	3724
49	192	3657
50	193	3595
51	193	3536
52	194	3484
53	195	3429
54	196	3376
55	197	3325
56	198	3284
57	199	3234
58	199	3187
59	200	3142
60	201	3099
61	202	3059
62	203	3021
63	203	2983
64	204	2945
65	205	2907
66	206	2870
67	206	2835
68	207	2800
69	208	2766
70	209	2734
71	209	2704
72	210	2674
73	211	2647
74	212	2618
75	213	2591
76	214	2565
77	214	2537
78	215	2510
79	215	2483
80	216	2459
81	217	2437
82	218	2410
83	218	2386
84	219	2363
85	220	2340
86	220	2317
87	221	2298
88	222	2277
89	223	2258
90	224	2240
91	226	2238
92	229	2234
93	229	2216
94	230	2198
95	231	2182
96	232	2164
97	233	2146
98	233	2128
99	234	2111
100	235	2094
101	236	2078
102	236	2062
103	237	2047
104	238	2032
105	239	2021
106	240	2007
107	241	1992
108	241	1977
109	242	1963
110	243	1949
111	244	1935
112	244	1921
113	245	1907
114	246	1893
115	246	1880
116	247	1866
117	248	1854
118	248	1842
119	249	1830
120	250	1818
121	250	1805
122	251	1793
123	252	1781
124	253	1771
125	253	1759
126	254	1748
127	255	1737
128	255	1728
129	256	1718
130	257	1708
131	258	1698
132	259	1688
133	259	1678
134	260	1668
135	261	1658
136	261	1649
137	262	1640
138	263	1632
139	264	1624
140	265	1616
141	266	1607
142	266	1599
143	267	1590
144	268	1581
145	269	1577
146	270	1568
147	271	1561
148	272	1553
149	272	1545
150	273	1538
151	274	1530
152	275	1523
153	276	1517
154	277	1511
